"name","SemanticID","url","category"
"Z. Akšamija","9178428","https://www.semanticscholar.org/author/9178428","Physics"
"Ismar Volic","93468269","https://www.semanticscholar.org/author/93468269","Mathematics"
"Anis Cilic","4741541","https://www.semanticscholar.org/author/4741541","Medicine"
"Hana Ćatić","2202543430","https://www.semanticscholar.org/author/2202543430","Mathematics"
"Muhamed Duhandžić","2156334905","https://www.semanticscholar.org/author/2156334905","Physics"
"Dina Mehmedbegović","69417446","https://www.semanticscholar.org/author/69417446","Linguistics"
"Selma Raljević","115055692","https://www.semanticscholar.org/author/115055692","Sociology"
"Sanid Muhić","2046960672","https://www.semanticscholar.org/author/2046960672","Computer Science"
"L. Vuić","2141079748","https://www.semanticscholar.org/author/2141079748","Engineering"
"E. Custovic","8895330","https://www.semanticscholar.org/author/8895330","Engineering"
"Amina Alić","2221658714","https://www.semanticscholar.org/author/2221658714","Physics"
"F. Djodjic","3829092","https://www.semanticscholar.org/author/3829092","Environmental Science"
"Edina Harbinja","71061626","https://www.semanticscholar.org/author/71061626","Law"
"Dzana Drino","1397279342","https://www.semanticscholar.org/author/1397279342","Mathematics"
"Aldin Kovačević","2036842474","https://www.semanticscholar.org/author/2036842474","Computer Science"
"S. Franca","51212112","https://www.semanticscholar.org/author/51212112","Physics"
"Adnan Arnautović","2077522137","https://www.semanticscholar.org/author/2077522137","Computer Science"
"Lejla Dzanko","2212613811","https://www.semanticscholar.org/author/2212613811","Computer Science"
"Kajs Hadžić","2266205997","https://www.semanticscholar.org/author/2266205997","Medicine"
"Amer Kajmakovic","51223600","https://www.semanticscholar.org/author/51223600","Engineering"
"Emir Hećimović","120492902","https://www.semanticscholar.org/author/120492902","Economics"
"Dino Mehmedagić","2223969191","https://www.semanticscholar.org/author/2223969191","Computer Science"
"Semir I. Šejtanić","118710858","https://www.semanticscholar.org/author/118710858","Education"
"Nejra Selak","2119193658","https://www.semanticscholar.org/author/2119193658","Medicine"
"Armin Kobilica","50845729","https://www.semanticscholar.org/author/50845729","Computer Science"
"Rijad Delić","2121891632","https://www.semanticscholar.org/author/2121891632","Political Science"
"Halil Ćorović","1454480046","https://www.semanticscholar.org/author/1454480046","Medicine"
"P. Ilić","50173666","https://www.semanticscholar.org/author/50173666","Environmental Science"
"Dina Kamber Hamzić","2141106455","https://www.semanticscholar.org/author/2141106455","Mathematics"
"Admir Čavalić","119106821","https://www.semanticscholar.org/author/119106821","Economics"
"Mirza Pojskic","2093489314","https://www.semanticscholar.org/author/2093489314","Computer Science"
"Fahrudin Delić","2204880524","https://www.semanticscholar.org/author/2204880524","Physics"
"Irma Custovic","1424935955","https://www.semanticscholar.org/author/1424935955","Materials Science"
"Semir Hadzimuratovic","51029081","https://www.semanticscholar.org/author/51029081","Engineering"
"N. Osmanovic","66358778","https://www.semanticscholar.org/author/66358778","Engineering"
"E. Mehić","2083028930","https://www.semanticscholar.org/author/2083028930","Chemistry"
"Amina Tucak-Smajić","2151396772","https://www.semanticscholar.org/author/2151396772","Medicine"
"Sabina Đonlagić Alibegović","151501519","https://www.semanticscholar.org/author/151501519","Business"
"T. Namas","2964491","https://www.semanticscholar.org/author/2964491","Engineering"
"Nermin Covic","1606002072","https://www.semanticscholar.org/author/1606002072","Computer Science"
"A. Arnaut","15309072","https://www.semanticscholar.org/author/15309072","Linguistics"
"A. Muftić","2079171711","https://www.semanticscholar.org/author/2079171711","Medicine"
"Riad Hajdarevic","1738310998","https://www.semanticscholar.org/author/1738310998","Medicine"
"Damir Banović","2082343159","https://www.semanticscholar.org/author/2082343159","Political Science"
"K. Mehinagic","6017414","https://www.semanticscholar.org/author/6017414","Medicine"
"S. Softić","2067116963","https://www.semanticscholar.org/author/2067116963","Political Science"
"Nađa Dreca","118643098","https://www.semanticscholar.org/author/118643098","Business"
"Mustafa Bevrnja","2240182192","https://www.semanticscholar.org/author/2240182192","Engineering"
"Emir Sudžuka","2083238045","https://www.semanticscholar.org/author/2083238045","Law"
"Malik Galijašević","2067358441","https://www.semanticscholar.org/author/2067358441","Medicine"
"Nedim Jukić","89832578","https://www.semanticscholar.org/author/89832578","Geography"
"Sandra Stojić","152829997","https://www.semanticscholar.org/author/152829997","Medicine"
"Sabina Glumčević","2220904017","https://www.semanticscholar.org/author/2220904017","Medicine"
"Kristina Sesar","5508349","https://www.semanticscholar.org/author/5508349","Psychology"
"Eldar Ćerim","2138213093","https://www.semanticscholar.org/author/2138213093","Psychology"
"Demira Bedak Ogri","2140976910","https://www.semanticscholar.org/author/2140976910","Materials Science"
"Emina Mostić","2161055283","https://www.semanticscholar.org/author/2161055283",NULL
"Džejla Idrizović","2006066976","https://www.semanticscholar.org/author/2006066976","Psychology"
"Adisa Ahmetspahić","2141003767","https://www.semanticscholar.org/author/2141003767","History"
"E. Museljic","2132223429","https://www.semanticscholar.org/author/2132223429","Engineering"
"Almir Vardo","114692134","https://www.semanticscholar.org/author/114692134","Medicine"
"Fikret Basic","1581554274","https://www.semanticscholar.org/author/1581554274","Computer Science"
"Haris Islamčević","1664030361","https://www.semanticscholar.org/author/1664030361","Sociology"
"Filip Novaković","2129153835","https://www.semanticscholar.org/author/2129153835","Law"
"D. Ivankovic","146502590","https://www.semanticscholar.org/author/146502590","Environmental Science"
"Slavko S. Simić","119627033","https://www.semanticscholar.org/author/119627033","Business"
"Irfan Djedović","119853886","https://www.semanticscholar.org/author/119853886","Economics"
"Omer Kovčić","118000967","https://www.semanticscholar.org/author/118000967","Environmental Science"
"S. Karović","2076441898","https://www.semanticscholar.org/author/2076441898","Law"
"Muhamed Lepuzanović","2189826563","https://www.semanticscholar.org/author/2189826563","Medicine"
"Amina Isanović Hadžiomerović","2133134919","https://www.semanticscholar.org/author/2133134919","Education"
"Berin Djikic","1580207970","https://www.semanticscholar.org/author/1580207970","Engineering"
"Katarina Bošnjak","2089362690","https://www.semanticscholar.org/author/2089362690","Psychology"
"Mirza Hebib","2006059993","https://www.semanticscholar.org/author/2006059993","Law"
"L. Hatvani","2785236","https://www.semanticscholar.org/author/2785236","Computer Science"
"Stefani Kecman","2223114662","https://www.semanticscholar.org/author/2223114662","Computer Science"
"Admir Dilberović","2276119488","https://www.semanticscholar.org/author/2276119488","Medicine"
"H. Sikira","12919693","https://www.semanticscholar.org/author/12919693","Medicine"
"Mirsad Buljubasic","2388303","https://www.semanticscholar.org/author/2388303","Computer Science"
